image_id,source,original_split,patient_group_hash,split,width,height,instances,issues,sha256,phash
anatomy_000119_a2b24f84,anatomy,train,anatomy_47d2eb5a949a5c166096,train,821,347,27,,1b3f93838c1bc83782959620a0e929e9738f1dc0db7fc52565118baf25813f30,d0f42f3f4ec2303c
anatomy_000120_c0634942,anatomy,train,anatomy_47d2eb5a949a5c166096,train,821,347,26,,2d04348ebd064ed8c48e56266d7814eed052effd57f2efdd83aaada3a179910b,d0f42f3f4ec2303c
anatomy_000121_ef91c5f5,anatomy,train,anatomy_c2c90849f8341f7ea6c6,train,815,342,26,,13e82fa77f8b8cadc079b8820ba5e2c54c600862cc1f6d9bc34a1a987816ba62,802d6e1a15f53f0f
anatomy_000122_7d3cc99c,anatomy,train,anatomy_c2c90849f8341f7ea6c6,train,815,342,26,,4192c1ebf963d8a3ce78e85cc1d61e49cb84c4c58e627982e157ad9f2d22417c,802d6e1a34f53f0f
anatomy_000123_4220a342,anatomy,train,anatomy_c2c90849f8341f7ea6c6,train,680,363,15,,0158e852e09c151f6e19cd95a1d07b673f8dd296f7195293db98e0dc772c58f1,95016a4f2ba7ce6c
anatomy_000124_f130352f,anatomy,train,anatomy_d21ea0fbbfc8dfe146e7,train,732,281,28,,c8b1b35cc2be0604e25f91a108b0fc1140b84ba9432b0001346e1cc843a6fbd0,95352e773ac2e02e
anatomy_000125_4cb06179,anatomy,train,anatomy_d21ea0fbbfc8dfe146e7,train,732,281,28,,4f4a1ce5117b92f5883961fa02c3bc2f9a64d00f0220ffa80313803141e0634c,95352e763ac2e42e
anatomy_000126_7f78f5cb,anatomy,train,anatomy_a291795fef6769825314,train,1229,598,27,,189c721cd2c54d2bd8ef1fa815fb011f7f327d495f7411a4f19d9124c9b268f2,d5d017657a96e521
anatomy_000127_1580f57e,anatomy,train,anatomy_a291795fef6769825314,train,1229,598,27,,c05310ce103123448a5a3a53e115f8bc150b448372afd3c137ca776d30df01f5,d5d017657a96e521
anatomy_000128_e4d36d1d,anatomy,train,anatomy_a291795fef6769825314,train,764,306,24,,7a9806fd6953efac87058cf61a682c43b707d8a6c5e724c8b2654b9d70a57da3,90247a544f67795e
anatomy_000129_06e3dbce,anatomy,train,anatomy_aa6451fbe01c2bf11057,train,807,317,20,clipped_box:10,e638e240ad72592c5f0cfcefa1b15abacfcc196ed82b9901a306aba43200099b,c0ff2b022dda685e
anatomy_000130_2497f325,anatomy,train,anatomy_aa6451fbe01c2bf11057,train,814,350,26,,8268041f5d6c3dc652382279d8d66ac2022819c42dbfcd75d3277992101f3b8d,80b16a466ae53f6e
anatomy_000131_9e7eb6c3,anatomy,train,anatomy_aa6451fbe01c2bf11057,train,814,350,24,,bb78c65b3d6fefa56ae9e22e54441aef38a76544e8ffe4df1408f714aab97d74,80b16a466ae53f6e
anatomy_000132_41e5706f,anatomy,train,anatomy_9b245412d14088a8889d,train,660,308,26,,e56b593b81284234e57eaaf42f37f2c97e473f6cdf98fd4320b7a419a7e11209,d0c13f326f85b233
anatomy_000133_dcc45fcc,anatomy,train,anatomy_9b245412d14088a8889d,train,660,308,26,,e4f6049bfd74b9638b3207da34addbf6bb82b7e69bffb71552f0b299aab5711c,d0c13f322f85b23b
anatomy_000134_ea9d6914,anatomy,train,anatomy_30299097582bc99dac25,train,812,354,28,,836fb7c41332265338166bce42cdb01038888e9d6d4a8d388259b52e024e804a,c1e04bd33f4ad0b5
anatomy_000135_00475b37,anatomy,train,anatomy_30299097582bc99dac25,train,812,354,28,,79b540fa3bef61e07f25a7833c943e540e97ded728318ec7eb68e9bff38fa872,c1e04bd33f4ad0b5
anatomy_000136_583c8e3b,anatomy,train,anatomy_30299097582bc99dac25,train,652,298,23,,d9c5681b272817d8742851f8e0a8bd7b20061291ec9b92e73c09dff9e9885ece,c09015bd7afaa527
anatomy_000137_b03a7aef,anatomy,train,anatomy_c976256eaa939335f907,train,809,318,22,,812bc9aa20c07f01e674dffe8b6c58bf9098f67ea7b2c750a0f9ee27ebf08ed5,d5e52a114c9471fd
anatomy_000138_35ae2f7d,anatomy,train,anatomy_c976256eaa939335f907,train,246,100,12,,40b88f5b44bc71bf53390e01ce3db592a7852289c27794cf631f1c023441eda2,d4c27b2dc0df28c6
anatomy_000139_0a342751,anatomy,train,anatomy_c976256eaa939335f907,train,246,100,12,,40b7050d836a11a81178b98348891be804cc26e3b7f3b1b0ca3c0d66f92fdcc8,d4827b6dc0df28c6
anatomy_000140_2079f6cb,anatomy,train,anatomy_c976256eaa939335f907,train,814,371,22,,6e688fc1eca2a48fd1f1e8258f1d3159f7d4472d221a79f05c8e85b4521ce875,85aa671555d17599
anatomy_000141_444c3db8,anatomy,train,anatomy_8330b02dc5e85759fea8,train,817,312,26,,b05d12351ff56ab8adc52111473ffac7aeb2789efb635669840a84cc5f36515a,91c03ae639adf07c
anatomy_000142_da1d2863,anatomy,train,anatomy_8330b02dc5e85759fea8,train,825,328,28,,c81999ae17fa13f999bb24e468e27cfb21a18832369d342520ec3483e1a8978d,95a57e646dc2b528
anatomy_000143_0de2ad7d,anatomy,train,anatomy_996137be541a555a86e5,train,640,307,19,,247f6f2f71c2bcf477648b5b44c3466506b8fe6e4638085848ac6b59b852f0c0,80017f2b4fd6a2eb
anatomy_000144_4841cb83,anatomy,train,anatomy_996137be541a555a86e5,train,640,307,19,,2093d2978b230e7e609e392cd3a1e970adf666a2e364784e05cea8d1aff4f4fa,80017f2b4bd6aaeb
anatomy_000145_5e2ca9e0,anatomy,train,anatomy_996137be541a555a86e5,train,815,348,28,,41220a88ad54dc389f421d607b4b01a76767b12ed3af57165b92dad0a4a89cb5,d0f07f2a3f817528
anatomy_000146_ab455f78,anatomy,train,anatomy_5122e5a665a64a51d0ef,train,593,280,27,,0d8c5b4ef22c7a6d1918848e43a308d3a315bb804e7eb60a9b78972a958c77f9,85d852df2897d562
anatomy_000147_a459c0ab,anatomy,train,anatomy_5122e5a665a64a51d0ef,train,811,337,28,,abb5e53db6c93de6f6a4ff61040ee385b4ae5ceed49cfb8d4279a0832355cf6a,90c17e1f7861d18f
anatomy_000148_ff1ad3bd,anatomy,train,anatomy_5122e5a665a64a51d0ef,train,811,337,28,,7b20e18192e8f0cf7c147858fb0a3992b2562d83bb971fb9d032512ae9f2ffe3,90c17e1f7861d12f
anatomy_000149_375b00e8,anatomy,train,anatomy_571cccb7166a51520de9,train,509,234,19,,7006b0108874f21142f7405c5e77f375ca5b0b5f4654789ffd0072b6195fbca3,c4e96c1c28b1eabe
anatomy_000150_069bd95b,anatomy,train,anatomy_571cccb7166a51520de9,train,814,326,26,,ec2638408966af252dacf92cf7d7f38c128f3ac949e61dcf9988f19869ff78c7,d07e1e023a95e1de
anatomy_000151_7cd6b3e5,anatomy,train,anatomy_ddcdd7e88d2db8a72727,train,805,367,25,,db67746631de5c3ff4bf6826f63344ac7434d98037bac513a0e7f0f80b0fcc12,959d3a052ed3ed21
anatomy_000152_aa9238a7,anatomy,train,anatomy_28c00a05a1596e491f34,train,815,399,25,,802d5445cfe329bd0b960d582c68f4763b7f29e56605dd04e868cf0bc9f1b4aa,c0b9f1791f872178
anatomy_000153_2fa5c962,anatomy,train,anatomy_28c00a05a1596e491f34,train,815,399,26,,5e62ae0792e4b8daae9f90eed2ea925eeae58031f68425fe6668caec3b388d4c,c0b9f1791f872178
anatomy_000154_b75c57ac,anatomy,train,anatomy_28c00a05a1596e491f34,train,816,329,28,,375745a70c5322c74a9cc7dbd32e6b8e986b4a1d34313ba97b260819c614cc08,95c86f4f6ac9e124
anatomy_000155_1b6abb46,anatomy,train,anatomy_7b0c41c219d3acf03de5,train,374,271,14,,cf3c21bc967987f07aa068cda3e66f7537f3a084340bdfe1419695dfb1a7adf9,9e9ddcd474b11283
anatomy_000156_fbd0b185,anatomy,train,anatomy_7b0c41c219d3acf03de5,train,374,271,14,,4a3903ebe07db3b1b066f7dcf3d7158505dd111a87b656d0995f8a685b7fb98e,9f9ddcd4f4b10203
anatomy_000157_8f5eb23d,anatomy,train,anatomy_7b0c41c219d3acf03de5,train,608,264,28,,73e0a8489635cde5ff5a68dc4a3811377f135b7dc87dab1e28874a965a213723,95003e751fa1aa7b
anatomy_000158_379cec54,anatomy,train,anatomy_7b0c41c219d3acf03de5,train,608,264,28,,f374c8d590dff11653e5ad892efb9181611d604ebf03f38e2d86824233fdf857,95003e751fe1aa3b
anatomy_000159_f35e89f8,anatomy,train,anatomy_324c3a6d87cc38949661,train,786,599,14,,b3723e1156285728670bc5d08e5a1ab08ae74b6549ad70491ded3316684f63b3,80381f57155f1677
anatomy_000160_8fe7e706,anatomy,train,anatomy_324c3a6d87cc38949661,train,786,599,14,,78422f78ba3165fdbb5164a42e0c9e2235ff39e2d4051b2a3bede3e20a77aa85,80381f17155f1777
anatomy_000161_87e928fd,anatomy,train,anatomy_324c3a6d87cc38949661,train,741,196,13,,e1a402ff5e3e597ddc3968300cfb9015264f73473b06c1ee86ce78bea0f9eb0e,95a56a1ea45a9ee1
anatomy_000162_98cac3b9,anatomy,train,anatomy_b173813e092d2426add0,train,656,191,11,,5ea659a77867cb95bf34a872c038a7fc5f86b68a05ce0faf01c38a207da2ce4d,82352bd2343d3dcd
anatomy_000163_a931124c,anatomy,train,anatomy_b173813e092d2426add0,train,656,191,10,,5a6a1c6121995ae9746e1327da544146fca00259fd9b34457f310d77cb206795,82352dd2343d3dcd
anatomy_000164_429d700d,anatomy,train,anatomy_050afb4f424a5031ea50,train,1194,426,11,,268db4caa44bdc4b3b2a96be6edeaf8cb6d9a604d09387451516cfec2bef9342,d5917a94cb2c895b
anatomy_000165_889b6db1,anatomy,train,anatomy_050afb4f424a5031ea50,train,662,240,28,,6d10e6f8bd4fdcd4f68aa9e1464507295ccde27d3295dda2694382f1c11a8559,977f7a4a2ac0615a
anatomy_000166_c5916e9d,anatomy,train,anatomy_050afb4f424a5031ea50,train,662,240,28,,28ed067f02d1aad4bbb18edad9886bb4f818646097ca39d72e5b75ee08f1a284,973f7a4a2ac0615b
anatomy_000167_9ac395d2,anatomy,train,anatomy_c115d4c839db37e9344a,train,994,659,14,,36294e512a61f0dc22730913a9cd2793e7c6929558673174bccae3c3b38395a8,80dfaedc7d303470
anatomy_000168_15c3fe23,anatomy,train,anatomy_c115d4c839db37e9344a,train,994,659,14,,d5070061cbcb16a84e4362195c57ea085eb80a76b5192b9aeded18c768aedf93,80dfaedc7d303470
anatomy_000169_a73801b5,anatomy,train,anatomy_c115d4c839db37e9344a,train,810,356,21,,f23e5428a46b6c33b91b1edafbf7b1af1b92dd06f128ce151466d387edb17830,c0756a6a1e856f2e
anatomy_000170_cd462f75,anatomy,train,anatomy_20037c6b5f12fe7bc217,train,762,297,13,,76e9de65406cacf7b44a26003558cfee5d2bb968abf09f06a217165800d89d16,c5603fcb94cec13c
anatomy_000171_93e27f3d,anatomy,train,anatomy_20037c6b5f12fe7bc217,train,762,297,12,,ae2dae07e06220f9a648dd0997ebc2575c9cd1a552359768bfcb5ef9aa641206,c5603fcb94cec13c
anatomy_000172_13dba27c,anatomy,train,anatomy_20037c6b5f12fe7bc217,train,539,235,24,,826c9305a454e8d025c7c5612c70a7df4feb80be7881f0621d77e295e0c62623,90352b3a6a97a55e
anatomy_000173_1fcd99ae,anatomy,train,anatomy_da214305eb7ec9fb006a,train,868,663,14,,0470a28c2a764569b06db0679f750539a2b8139f4388130cb8867cf90aa3f2eb,d5d4cbc908047f76
anatomy_000174_06ecd328,anatomy,train,anatomy_b125a424d7b93ddb2f96,train,795,326,25,,44e37399db0a2e91d3ab4826aa5dd5946b427663258813a4c5531c46625c78d0,d07d0ad01fd5623d
anatomy_000175_0f204681,anatomy,train,anatomy_c7e128b82d8eee969d03,train,883,661,14,clipped_box:2,564ba89684e11e5c508775ba3d348c2b57de4302de4a96a424280312f4f94901,805f9ebea8b90939
anatomy_000176_95dd726a,anatomy,train,anatomy_c7e128b82d8eee969d03,train,883,661,14,clipped_box:1|clipped_box:2,1fd8f883b626e5fa9a9346dfbb44e46a7b101eed17e44d9c6f626762a0253f0e,801f9fbea8b90939
anatomy_000177_52481f66,anatomy,train,anatomy_c7e128b82d8eee969d03,train,799,333,25,,eb043df5c8229c58d0d31c616278a6c5fac45ee0aeab2663df27f2ede0e9b8f8,85555f781fe06a1a
anatomy_000178_b73b5bd4,anatomy,train,anatomy_c7e128b82d8eee969d03,train,799,333,25,,ace233f3da818e45ff06c2bd7768872ccf6ec9077df83c5636dca63448adc002,85555f781fc46a1a
anatomy_000179_7cad3c60,anatomy,train,anatomy_c7e128b82d8eee969d03,train,483,221,22,clipped_box:10,e4f9b2ecedfc0b3635f795a6a72ca7a0ee0f6875f0474fe9c63d4d67681d2c87,d5abe03d0ac0f43d
anatomy_000180_078a9167,anatomy,train,anatomy_213efcc22613ea5ba66e,train,1000,656,14,,60b65c66867b5f0d651fadaaeda8c87bd45feb901d5abc06ce3e26b65658ffba,d59702005f555dfc
anatomy_000181_f49d2d51,anatomy,train,anatomy_213efcc22613ea5ba66e,train,1000,656,14,,a74ab8d4d2024f827b093bf09eeea7f3ae1f8bb5c8ad43b3ccf5b2f1811a1217,d59702005f5d5cfc
anatomy_000182_1ae939e1,anatomy,train,anatomy_213efcc22613ea5ba66e,train,787,355,28,,288798a2c43390dbc602fe0561accfc824679762c2d82b32759b2ea5f9e6f2e4,c095d23c6f8adb26
anatomy_000183_9550dd0c,anatomy,train,anatomy_213efcc22613ea5ba66e,train,795,322,23,,4b9612ed6765a877898fa2f02fd49c9716b784ec8b5476e7dbdf7c4c9565f692,95f07f876a9e20a8
anatomy_000184_1b1531e4,anatomy,train,anatomy_5fad70760435a60bb3e4,train,711,325,25,,e3354f220bb3d7a56fb9ae2780e1a46553b5ba0afd1952ca76919871379ebb92,d0f42a6a2f92e539
anatomy_000185_09a7965f,anatomy,train,anatomy_5fad70760435a60bb3e4,train,711,325,24,,d75ed0867c340dcb89fead6c713d1cc463c94d459bda747bb244eb7a7c38037d,d0f42a6a2f92e539
anatomy_000186_43aaf69d,anatomy,train,anatomy_c0cd04bb01b276313d10,val,794,377,27,,ea374b24a62e23b634577376fd4428069fd00bd64042b5caba815a43b69768fa,d4e17f502a81f07e
anatomy_000187_95845994,anatomy,train,anatomy_8002ecb358c6c15875a2,train,800,587,14,,d7285123c16057f27a052ed9971158f229f6bf760a2dddd920f9e88a6d10fcc4,f0d6ded87d687020
anatomy_000188_7ccf068d,anatomy,train,anatomy_8002ecb358c6c15875a2,train,800,587,14,,5d87d4dd562db62c1bbb1438cfed445c15156ceb133913c60980241e0301fba2,f0d6ded87d687020
anatomy_000189_fc85ece0,anatomy,train,anatomy_8002ecb358c6c15875a2,train,784,301,20,,5bd1e8ff6f58eac779f778a9562cc7a22e64293eecbd319a4fdbf5ae4e049a63,c5203a6f6b95e1ca
anatomy_000190_828dfaf5,anatomy,train,anatomy_8002ecb358c6c15875a2,train,784,301,20,,a75bd13b5b7518123414a286e9f746bca8d269931fb322680df34a029fc056d2,c1203a7f6b95e1ca
anatomy_000191_9123473c,anatomy,train,anatomy_dbc4a6cdbe5f12bf350d,train,971,600,14,,7fa01c7358e8beaf9fe3581b13eb2059b2e919c1fc94895f883867eb7992b7af,953dca142d912dcf
anatomy_000192_53a276a3,anatomy,train,anatomy_dbc4a6cdbe5f12bf350d,train,971,600,14,,c42c17ec3aea9142ba762c37f7caf1657bbafd819318b33ab9a4d8bf409f7f36,953dca152d912dcb
anatomy_000193_f3c2fa95,anatomy,train,anatomy_dbc4a6cdbe5f12bf350d,train,286,68,12,,580640ca73e755d08e7ee720c0779f065f50dd88d2cc67fa493daaed2676577f,db643fd2e88ba089
anatomy_000194_d170e21b,anatomy,train,anatomy_dbc4a6cdbe5f12bf350d,train,286,68,12,,ff0764fa7945915a10eb99020eea015952a0c9ccd33b4b04707bceafece02881,db647bd2e8cb8089
anatomy_000195_91724b3c,anatomy,train,anatomy_dbc4a6cdbe5f12bf350d,train,815,331,27,,545349cb0277ca96d34292772f19b6101b6e69cec38cbc3dca3050b39eba924f,c0b52a527fd1347c
anatomy_000196_0af36855,anatomy,train,anatomy_dbc4a6cdbe5f12bf350d,train,815,331,27,,f6561ae8efb60b3c8532fd2e3cc8d71ffa97261e1f7f2ac9555cdc2b48099c1d,c0b52a527fd1347c
anatomy_000197_be4e7208,anatomy,train,anatomy_6657610bab60fc95d653,train,895,592,14,,068eb5ba8ec78409ad42923f2efd2c045a5afcc37f35521ce3a167f8ea7a22b0,81eebd7c71607262
anatomy_000198_12a3cb14,anatomy,train,anatomy_6657610bab60fc95d653,train,895,592,14,clipped_box:14,d5f9939f1b1f21dbea9b83c47cecfd9329c9e9d824731789956dabd3a9b61e8e,81eebd7c71607262
anatomy_000199_ae40bf9e,anatomy,train,anatomy_6657610bab60fc95d653,train,820,661,14,,48efdc23cba21e72587c7f4a0b5c4f4ca3599b68c82fa0f9994d20cbc1886530,d700de97c993684b
anatomy_000200_e7073397,anatomy,train,anatomy_5800d80a01fb105c999d,train,799,596,13,,0e26bb3617a2581c178578bac578557c51f499edab3577fa41a1bc8770683daf,80d38e8a5cf97c71
anatomy_000201_64c05948,anatomy,train,anatomy_5800d80a01fb105c999d,train,799,596,13,,f2baed955d3cd529b0f4b92a8476a17e187b8ef8fe6a95b0935b1f15c3f60346,80d38e8a5cf97c71
anatomy_000202_92a13196,anatomy,train,anatomy_5800d80a01fb105c999d,train,935,654,14,,84a04527513ec510156335e31adcd0f196edb269f3c48f5c09b8daffb0a461a9,8184df376cd6711a
anatomy_000203_ec60a1a3,anatomy,train,anatomy_5800d80a01fb105c999d,train,935,654,14,,75e7209a015236a79e843077214124bc5581f4fc0e14834e253a1ac708ea0156,8184df376cd6711a
anatomy_000204_c89fc7de,anatomy,train,anatomy_88e996b805d4d6c88ab8,train,871,643,14,,2fe6e65a308078f682d4b36d7d49e7dd893c7ccfa274f3eafd4c9be02d924889,8abd4bd2e7c072e0
anatomy_000205_adfede3b,anatomy,train,anatomy_df129212da9913823b2b,train,914,635,14,,347cd0922922b4f6098b391d041bec12f3a9be2b49223cdc1b38a0c0b585a9f1,d4d28bedacbcb420
anatomy_000206_1bd62699,anatomy,train,anatomy_df129212da9913823b2b,train,484,225,27,,5ef9182a910aa3fa863ea4ae7bff8de58e58e10cc659fde7059a1018846d468e,95e0623f6ac9903f
anatomy_000207_19d4fed3,anatomy,train,anatomy_6f1f3c76f7dbbd6664ca,train,854,634,14,,46f6dbf90b3782ec85f817bb4f65f4aeaa0fe4293063ccbefa43ec44663d68bf,c42dda07c897f097
anatomy_000208_e1445c1b,anatomy,train,anatomy_6f1f3c76f7dbbd6664ca,train,854,634,14,,e089ace743fb5939b569480b54a2f88fec2fc3d418c51ea90aa53a2763654306,c42dda07c897f097
anatomy_000209_e19def66,anatomy,train,anatomy_6f1f3c76f7dbbd6664ca,train,748,291,27,,b6ea619c78bc1b0b9f3fbad8c30103ae19e5a7633c5f2cf9486e2b325674dcb4,d4140a7e29a662ff
anatomy_000210_44f45ac5,anatomy,train,anatomy_c6ce06d8fbec8184bdcf,train,589,383,14,,be128cdab8e1c2f77e41eb3c751d7bb7f5a1ac34487ecb16885581a3f615d7c0,85619a47f94a759a
anatomy_000211_5fe4dae8,anatomy,train,anatomy_c6ce06d8fbec8184bdcf,train,589,383,14,,535d9d4b270627a7fb83432afa3d4439f7ef65f4787e07be21831b5f2b9a1681,85619a47b94a759e
anatomy_000212_135d466f,anatomy,train,anatomy_d1c3c83370ddab7a8c27,train,664,430,14,,b09cab51f80804ac0385036ae7a01670bf4e78bbeea21bed86d9974bbaaf2b45,81d5ab221df234fa
anatomy_000213_af7b7422,anatomy,train,anatomy_d1c3c83370ddab7a8c27,train,664,430,14,,75daf58ad399fe83b59dc5d56ccb56876d33b65e7e33d394c17459696726c6cc,81d5ab221df334ea
anatomy_000214_8629dd7e,anatomy,train,anatomy_d1c3c83370ddab7a8c27,train,617,289,24,,0f2b9ee548a1df9456312b127524635a0ea519ff7b0e275f94d8397be811881d,81802a2a2ffeb5f5
anatomy_000215_a41f0dae,anatomy,train,anatomy_0b569035c7efe972905b,train,895,543,12,clipped_box:11|clipped_box:12,a8faf11d6a7f04b2e295ba5d73046536232fb3d81700306db8e84ba4c72d32b0,e1d7cbcd65442076
anatomy_000216_8605e4a7,anatomy,train,anatomy_0b569035c7efe972905b,train,679,266,27,,2910dd8f7204a4f8e5ae525df02b54d83477bc75592c9b9ce7e4d084ed28c586,85307af071d77435
anatomy_000217_1a7a01ea,anatomy,train,anatomy_0b569035c7efe972905b,train,679,266,27,,53a6607955b8b95a0d26576efe3507d7e877c47f94312d741dfd58d07423afb6,85307af071d77435
anatomy_000218_3a0fc5b9,anatomy,train,anatomy_c87b93b1c0e7928cd91a,train,916,651,14,,fa1d9d90e4aff3d2fe47a5c5c7a2158ecd42a7c3e32a91b193f5763043f1216f,b4e90b705dc3648f
anatomy_000219_9fbbcc8b,anatomy,train,anatomy_c87b93b1c0e7928cd91a,train,916,651,14,,cde7bea9c6ceffc56eb6b43934e0b3e9428a67a9eb032fe0614f8fd55b800edc,b4e90b705dc3648f
anatomy_000220_462f608a,anatomy,train,anatomy_c87b93b1c0e7928cd91a,train,709,302,24,,ee7c3735c77250260ead96e5b3b3452f2296eaef0f75b6e66c63ead40da8fc9f,94942f342d8be73c
anatomy_000221_88d370a3,anatomy,train,anatomy_c87b93b1c0e7928cd91a,train,709,302,24,,ba960a3f3514c68295489412139a06ca311b9bdf48d63bfc8757c7d9dee6cda1,94942f342dc3e73c
anatomy_000222_2bf7df8c,anatomy,train,anatomy_0dde32af0f49c50ca8a0,train,881,662,14,,910bc4aa5f5134a03b83d3af960759b43ccc304eacd0c4fcb495a555f20d038a,a1becae8c9e10d69
anatomy_000223_42807013,anatomy,train,anatomy_0dde32af0f49c50ca8a0,train,881,662,14,,261b8155f5b5f80527479e03549f785f8c01a9d82f64c61424fd51d65abc7313,a1becae8c9e10d69
anatomy_000224_193c0fbe,anatomy,train,anatomy_0dde32af0f49c50ca8a0,train,733,442,24,,7845e1a4c8517100c6dd14d2a469bb41a91be1eed485db8ad12b7719bd0e04a6,94d17f037ac1a43e
anatomy_000225_b6d4b884,anatomy,train,anatomy_0dde32af0f49c50ca8a0,train,733,442,24,,10454f5c04835a3361af596d3f632b3ba3864a54e93393317d58211380655b6a,94d17f037ac1a43e
anatomy_000226_1c4beed8,anatomy,train,anatomy_0dde32af0f49c50ca8a0,train,814,349,24,,05017603b22217b71bf1409c030b475d61942aebdb44a4129adb0d3204e4e571,94a13a973f81ad8d
anatomy_000227_66293c96,anatomy,train,anatomy_fe10763f7d38a5a87b38,train,698,284,22,,e65682d4b2b961504bf972d75205aa918d3ca043a2cc138cbd6cb570c749ff3f,911d7a3c3bc2607d
anatomy_000228_8285bf57,anatomy,train,anatomy_fe10763f7d38a5a87b38,train,698,284,22,,a693495df480bfd46ae652c94d56f0bd3cb06f8b180ea747957c8c0f36f59e47,911d7a3c3bc26279
anatomy_000229_31d9aa0e,anatomy,train,anatomy_4bc1e154f9c93d07f09a,train,598,280,24,,7dde03d63da5b02e6bd2f81adf1ba6462398671413df82b050d555e00aed67d2,80f868161fe1d53f
anatomy_000230_583e01c2,anatomy,train,anatomy_e5e93d7f18e7e41862de,val,705,336,24,,9d25e98c7594fc5c5d64189ff51da66b1757894cd89f07abb26178d243a54107,d5a07fb07a15a6a4
anatomy_000231_7e0bbc6b,anatomy,train,anatomy_e5e93d7f18e7e41862de,val,589,241,26,,c046747babaa2e807d0a71eef5a6e2c612130e8f9f0b0ac1841316b3323c7968,96803a133adfa1f5
anatomy_000232_9b55742b,anatomy,train,anatomy_9648c429fefa3008ec1f,train,815,511,22,,ebff3e88992ccd4721a6af9aea20bd8ead5a1e03adbe42809a6ebd56a1a712aa,908563743fc3e374
anatomy_000233_878014ad,anatomy,train,anatomy_9648c429fefa3008ec1f,train,717,372,12,,d42c22148c15a746052246a4ea3caa3eb42f8c96ed5fdb3a2e2759500a9f492e,805fdddc78305175
anatomy_000234_887f86ca,anatomy,train,anatomy_3e716aa75c449527dfd3,train,705,319,24,,a9a0acad34f44195c9fe33a1a87f841d420f28b64db04fd06bf7194e76fd835c,91683e199f918e97
anatomy_000235_ef06db6c,anatomy,train,anatomy_3e716aa75c449527dfd3,train,705,319,24,,cddd5b27a1ff3dd4612554b05b8e2a7f4becc16920a405039f77760510907445,91683e199f918e97
anatomy_000236_3adfb858,anatomy,train,anatomy_e724a10c90832ab9b615,train,579,344,14,clipped_box:1,ee3e606afc6fcb9df0123e87ab29acfb28bde122d904cb4ca3d26a9880ee94b7,a5979e9d9c94881d
anatomy_000237_b5ccfbc3,anatomy,train,anatomy_e724a10c90832ab9b615,train,692,322,24,,6d8299c538df9215088be22fb9d395045c7aa18c3db70a45afe0db7624aa1eff,95952e1a6a933d8b
anatomy_000238_895302b8,anatomy,train,anatomy_e724a10c90832ab9b615,train,692,322,24,,79ddf6a33ece950b6cb26fc272d8a26a57202d0f98876abfb58f9d69e14aa013,95852e1a6a933dcb
anatomy_000239_4149bc0e,anatomy,train,anatomy_e724a10c90832ab9b615,train,810,300,25,,5583c977aa7be14ac8dfa94e302c63623643893fba7c66a5a9893d29a3d0ca44,d0d42e6d46c13e8f
